Proposal,ID,Stakes,Wealth,Model,Proportion,Temperature,Month
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
