Proposal,ID,Stakes,Wealth,Model,Proportion,Temperature,Month,Framing,Human_Emphasis
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
5,1,20,493,GPT-3.5,0.25,1,February,2,0
2,1,20,493,GPT-3.5,0.1,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
2,1,20,493,GPT-3.5,0.1,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
10,1,20,493,GPT-3.5,0.5,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
5,1,20,493,GPT-3.5,0.25,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
0,1,20,493,GPT-3.5,0.0,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
