Proposal,Response,ID,Stakes,Wealth,Model,Proportion,Temperature,Month,Framing,Human_Emphasis
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,1,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,1,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
4.0,0,1,20,493,GPT-3.5,0.2,1,August,1,0
